"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team","player_hist_link","player_fullname"
1,"48844.jpg","Ospina",3,"a",48844,"David","Ospina",13,"",48,"2018-04-29T20:01:18Z",100,100,"0.4","4.0",-2,0,2,0,FALSE,0,"0.2","2.0",10172,3948,0,0,0,0,0,0,19,8,"3.8","3.0","1.8",FALSE,380,0,0,2,3,0,0,0,0,0,9,1,86,"75.8","0.0","0.0","7.7",0,1,1,"https://fantasy.premierleague.com/drf/element-summary/1","David Ospina"
2,"11334.jpg","Cech",3,"a",11334,"Petr","Cech",33,"",53,"2018-04-22T12:01:20Z",100,100,"0.3","23.4",-2,0,2,0,FALSE,1,"4.5","1.7",294471,183262,0,0,0,0,0,0,124,0,"3.6","2.7","3.0",FALSE,3039,0,0,11,48,0,1,0,1,0,90,7,627,"722.4","0.0","0.0","71.9",0,1,1,"https://fantasy.premierleague.com/drf/element-summary/2","Petr Cech"
3,"98980.jpg","Martinez",3,"u",98980,"Damian Emiliano","Martinez",26,"Season-long loan to Getafe",40,"2017-08-03T08:35:02Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.6","0.0",29335,1506,0,0,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,1,1,"https://fantasy.premierleague.com/drf/element-summary/3","Damian Emiliano Martinez"
4,"51507.jpg","Koscielny",3,"i",51507,"Laurent","Koscielny",6,"Achilles injury - Unknown return date",60,"2018-05-03T21:31:18Z",0,0,"0.1","16.7",0,0,0,0,FALSE,3,"1.5","0.3",199153,205878,0,0,0,0,0,0,100,0,"4.0","0.0","0.0",FALSE,2225,2,0,9,32,0,0,0,4,0,0,16,556,"692.0","123.8","137.0","95.5",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/4","Laurent Koscielny"
5,"17127.jpg","Mertesacker",3,"a",17127,"Per","Mertesacker",4,"",47,"2017-11-18T12:31:16Z",100,100,"0.0","3.4",-3,0,3,0,FALSE,1,"0.5","0.2",46441,31711,0,0,0,0,0,0,16,0,"2.7","1.2","1.2",FALSE,364,1,0,0,7,0,0,0,0,0,0,2,81,"119.6","3.0","38.0","16.1",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/5","Per Mertesacker"
6,"158074.jpg","Gabriel",3,"u",158074,"Gabriel Armando","de Abreu",5,"Joined Valencia on 18/8",50,"2017-07-12T10:31:11Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.1","0.0",2365,368,0,0,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/6","Gabriel Armando de Abreu"
7,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",24,"",59,"2018-03-07T19:31:17Z",100,100,"0.7","22.4",-1,0,1,0,FALSE,2,"10.3","4.2",960552,748052,0,0,0,0,0,0,132,6,"3.8","5.2","4.8",FALSE,3050,2,4,12,44,0,0,0,5,0,0,11,656,"554.0","561.0","484.0","160.1",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/7","Héctor Bellerín"
9,"80254.jpg","Jenkinson",3,"u",80254,"Carl","Jenkinson",25,"Season-long loan to Birmingham",45,"2017-08-22T14:57:50Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.2","0.0",13677,751,0,0,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/9","Carl Jenkinson"
10,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",57,"2018-02-25T19:31:19Z",100,100,"0.4","22.8",2,0,-2,0,FALSE,3,"8.0","2.0",1476893,1603695,0,0,0,0,0,0,130,1,"4.6","3.0","3.2",FALSE,2241,5,2,10,29,0,0,0,3,0,0,15,604,"693.6","238.7","305.0","124.0",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/10","Nacho Monreal"
11,"156074.jpg","Holding",3,"a",156074,"Rob","Holding",16,"",44,"2017-11-05T19:31:15Z",100,100,"0.3","6.1",-6,0,6,0,FALSE,0,"0.7","1.3",111188,29403,0,0,0,0,0,0,27,7,"2.3","2.3","1.2",FALSE,819,0,1,3,17,0,0,0,3,0,0,1,196,"212.2","39.3","24.0","27.5",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/11","Rob Holding"
12,"69140.jpg","Mustafi",3,"a",69140,"Shkodran","Mustafi",20,"",54,"2018-03-11T16:01:19Z",100,100,"0.4","20.2",-1,0,1,0,FALSE,2,"4.2","2.0",492651,593921,0,0,0,0,0,0,109,9,"4.0","3.0","1.6",FALSE,2272,3,1,10,30,0,0,0,6,0,0,13,610,"836.6","129.9","202.0","117.0",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/12","Shkodran Mustafi"
13,"111457.jpg","Kolasinac",3,"a",111457,"Sead","Kolasinac",31,"",58,"2018-04-29T17:01:20Z",100,100,"0.6","18.6",-2,0,2,0,FALSE,2,"6.1","3.5",1171952,833275,0,0,0,0,0,0,108,6,"4.0","4.5","4.0",FALSE,2146,2,4,10,30,0,0,0,3,0,0,6,510,"443.2","334.9","404.0","118.3",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/13","Sead Kolasinac"
16,"37605.jpg","Özil",3,"d",37605,"Mesut","Özil",11,"Back injury - 25% chance of playing",93,"2018-05-06T15:31:20Z",25,25,"0.0","12.0",-2,0,2,0,FALSE,2,"2.1","0.0",408304,358328,0,0,0,0,0,0,112,0,"4.3","0.3","0.3",FALSE,2161,4,9,8,36,0,0,0,4,0,0,11,506,"640.6","1287.5","555.0","248.6",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/16","Mesut Özil"
17,"19524.jpg","Cazorla",3,"i",19524,"Santiago","Cazorla",19,"Achilles injury - Unknown return date",69,"2017-07-12T10:31:11Z",0,0,"0.0","0.0",-1,0,1,0,FALSE,0,"0.1","0.0",2659,1181,0,0,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/17","Santiago Cazorla"
18,"41792.jpg","Ramsey",3,"a",41792,"Aaron","Ramsey",8,"",68,"2018-04-13T09:01:18Z",100,100,"0.5","19.1",-2,0,2,0,FALSE,3,"4.5","3.5",1139322,1257144,0,0,0,0,0,0,130,6,"5.4","4.5","4.0",FALSE,1844,7,10,9,25,0,0,0,0,0,0,12,503,"631.2","478.3","734.0","184.2",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/18","Aaron Ramsey"
20,"56864.jpg","Coquelin",3,"u",56864,"Francis","Coquelin",34,"Transferred to Valencia",43,"2018-01-12T09:32:41Z",0,0,"0.0","1.6",-2,0,2,0,FALSE,0,"0.5","0.0",41507,15808,0,0,0,0,0,0,7,0,"1.0","0.0","0.0",FALSE,164,0,0,0,6,0,0,0,0,0,0,0,35,"22.2","16.9","8.0","4.8",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/20","Francis Coquelin"
21,"153133.jpg","Iwobi",3,"a",153133,"Alex","Iwobi",17,"",51,"2018-04-29T20:01:18Z",100,100,"0.6","17.5",-4,0,4,0,FALSE,0,"1.0","3.2",223267,127206,0,0,0,0,0,0,89,3,"3.4","4.2","4.2",FALSE,1827,3,5,9,26,0,0,0,1,0,0,2,426,"430.0","592.9","635.0","165.6",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/21","Alex Iwobi"
22,"153256.jpg","Elneny",3,"i",153256,"Mohamed","Elneny",35,"Ankle injury - Unknown return date",42,"2018-04-22T14:01:18Z",0,0,"0.1","5.2",-3,0,3,0,FALSE,0,"3.0","0.5",356216,309421,0,0,0,0,0,0,22,0,"1.7","0.0","0.0",FALSE,865,0,1,3,12,0,0,0,3,1,0,0,156,"138.2","194.4","92.0","42.5",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/22","Mohamed Elneny"
23,"84450.jpg","Xhaka",3,"a",84450,"Granit","Xhaka",29,"",51,"2018-04-15T12:31:19Z",100,100,"0.6","21.4",-4,0,4,0,FALSE,1,"7.0","3.0",1106599,987715,0,0,0,0,0,0,109,3,"2.9","4.0","4.0",FALSE,3259,1,8,12,50,0,0,0,10,0,0,3,593,"753.4","822.8","378.0","195.3",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/23","Granit Xhaka"
24,"54102.jpg","Wilshere",3,"a",54102,"Jack","Wilshere",10,"",50,"2018-04-19T08:31:17Z",100,100,"0.2","9.2",-5,0,5,0,FALSE,0,"0.7","1.0",129077,153990,0,0,0,0,0,0,46,0,"2.3","2.0","2.2",FALSE,1185,1,3,4,16,0,0,0,6,0,0,2,236,"258.4","281.8","169.0","71.0",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/24","Jack Wilshere"
26,"50175.jpg","Welbeck",3,"a",50175,"Danny","Welbeck",23,"",73,"2018-04-01T20:31:18Z",100,100,"0.2","9.6",-2,0,2,0,FALSE,2,"1.2","1.2",233314,218953,0,0,0,0,0,0,70,1,"2.5","2.2","2.2",FALSE,1178,5,2,4,21,0,0,0,1,0,0,6,249,"309.8","212.8","435.0","96.0",0,4,1,"https://fantasy.premierleague.com/drf/element-summary/26","Danny Welbeck"
27,"155851.jpg","Pérez",3,"u",155851,"Lucas","Pérez",28,"Joined Deportivo La Coruna on loan for the season",74,"2017-08-31T18:31:14Z",0,0,"0.0","0.0",-1,0,1,0,FALSE,0,"0.1","0.0",9141,550,0,0,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,4,1,"https://fantasy.premierleague.com/drf/element-summary/27","Lucas Pérez"
28,"59966.jpg","Lacazette",3,"a",59966,"Alexandre","Lacazette",9,"",103,"2018-04-01T12:31:19Z",100,100,"0.5","13.4",-2,0,2,0,FALSE,2,"7.6","5.5",1826713,1367817,0,0,0,0,0,0,138,2,"4.3","6.5","7.2",FALSE,2197,14,5,10,28,0,0,0,1,0,0,11,543,"725.6","566.0","1291.0","258.0",0,4,1,"https://fantasy.premierleague.com/drf/element-summary/28","Alexandre Lacazette"
281,"57249.jpg","Mkhitaryan",3,"a",57249,"Henrikh","Mkhitaryan",7,"",77,"2018-04-29T20:01:18Z",100,100,"0.4","13.9",-3,0,3,0,FALSE,3,"7.5","2.7",2414977,2270366,0,0,0,0,0,0,107,3,"4.1","3.7","3.6",FALSE,1712,3,9,12,17,0,0,0,2,0,0,9,411,"506.8","727.8","400.0","163.8",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/281","Henrikh Mkhitaryan"
480,"101184.jpg","Chambers",3,"a",101184,"Calum","Chambers",21,"",47,"2018-03-11T13:31:19Z",100,100,"0.3","4.9",-3,0,3,0,FALSE,0,"0.4","1.5",29485,26699,0,0,0,0,0,0,23,0,"1.9","2.5","2.8",FALSE,864,0,0,2,14,0,0,0,1,0,0,0,171,"227.8","40.0","134.0","40.2",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/480","Calum Chambers"
489,"200641.jpg","Nelson",3,"a",200641,"Reiss","Nelson",61,"",47,NA,NA,NA,"0.1","1.1",-3,0,3,0,FALSE,0,"0.0","0.3",3407,1836,0,0,0,0,0,0,5,0,"1.7","1.3","1.4",FALSE,144,0,0,0,3,0,0,0,0,0,0,0,23,"12.0","29.7","11.0","5.3",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/489","Reiss Nelson"
546,"154043.jpg","Maitland-Niles",3,"a",154043,"Ainsley","Maitland-Niles",30,"",45,"2018-04-15T12:31:19Z",100,100,"0.2","5.6",0,0,0,0,FALSE,0,"0.1","1.0",12490,15922,0,0,0,0,0,0,25,1,"1.7","2.0","2.0",FALSE,908,0,0,3,16,0,0,0,1,0,0,0,160,"168.4","141.3","67.0","37.8",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/546","Ainsley Maitland-Niles"
559,"113534.jpg","Macey",3,"a",113534,"Matt","Macey",54,"",50,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.0","0.0",555,568,0,0,0,0,0,0,0,0,"0.0","1.0","1.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,1,1,"https://fantasy.premierleague.com/drf/element-summary/559","Matt Macey"
560,"205533.jpg","Nketiah",3,"a",205533,"Edward","Nketiah",62,"",50,NA,NA,NA,"0.1","0.6",0,0,0,0,FALSE,0,"0.0","0.3",3779,4612,0,0,0,0,0,0,3,0,"1.0","1.3","1.4",FALSE,17,0,0,0,1,0,0,0,0,0,0,0,10,"5.0","1.9","17.0","2.3",0,4,1,"https://fantasy.premierleague.com/drf/element-summary/560","Edward Nketiah"
564,"27334.jpg","Debuchy",3,"u",27334,"Mathieu","Debuchy",2,"Transferred to Saint-Etienne",45,"2018-01-31T19:14:43Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.0","0.0",1662,1490,0,0,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/564","Mathieu Debuchy"
595,"233963.jpg","Mavropanos",3,"s",233963,"Konstantinos","Mavropanos",27,"Suspended until 11 Aug",42,"2018-05-09T19:31:19Z",0,0,"0.2","1.0",-3,0,3,0,FALSE,0,"0.0","0.7",1881,3828,0,0,0,0,0,0,4,0,"1.3","0.0","0.0",FALSE,194,0,0,1,5,0,0,0,0,1,0,0,41,"52.2","1.3","2.0","5.5",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/595","Konstantinos Mavropanos"
616,"54694.jpg","Aubameyang",3,"a",54694,"Pierre-Emerick","Aubameyang",14,"",108,"2018-02-03T16:31:19Z",100,100,"0.6","8.1",3,0,-3,0,FALSE,2,"14.0","7.0",726140,1545427,0,0,0,0,0,0,87,8,"6.7","8.0","7.8",FALSE,1056,10,4,4,15,0,0,1,0,0,0,12,354,"484.0","207.1","580.0","127.1",0,4,1,"https://fantasy.premierleague.com/drf/element-summary/616","Pierre-Emerick Aubameyang"
634,"200089.jpg","Willock",3,"a",200089,"Joseph","Willock",69,"",45,NA,NA,NA,"0.1","0.7",0,0,0,0,FALSE,0,"0.0","0.5",127,239,0,0,0,0,0,0,3,0,"1.5","1.5","1.6",FALSE,81,0,0,0,2,0,0,0,0,0,0,0,8,"8.2","5.8","4.0","1.8",0,3,1,"https://fantasy.premierleague.com/drf/element-summary/634","Joseph Willock"
644,"209413.jpg","Osei-Tutu",3,"a",209413,"Jordi","Osei-Tutu",63,"",40,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.0","0.0",53,235,0,0,0,0,0,0,0,0,"0.0","1.0","1.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,2,1,"https://fantasy.premierleague.com/drf/element-summary/644","Jordi Osei-Tutu"
29,"40349.jpg","Begovic",91,"a",40349,"Asmir","Begovic",27,"",45,"2018-03-19T12:31:17Z",100,100,"0.8","24.9",0,0,0,0,FALSE,3,"4.1","3.4",295513,225786,0,0,0,0,0,0,112,3,"2.9","3.4","3.5",FALSE,3420,0,0,6,61,0,1,0,2,0,111,6,631,"790.8","20.0","0.0","80.8",0,1,2,"https://fantasy.premierleague.com/drf/element-summary/29","Asmir Begovic"
